,State Name,County Name,Mean_Annual_AQI,Month,Day
86,California,San Francisco,39.91304347826087,4.0,15.83695652173913
87,California,San Joaquin,43.31521739130435,4.0,15.83695652173913
88,California,San Luis Obispo,48.108695652173914,4.0,15.83695652173913
89,California,San Mateo,37.70652173913044,4.0,15.83695652173913
90,California,Santa Barbara,47.33695652173913,4.0,15.83695652173913
91,California,Santa Clara,42.108695652173914,4.0,15.83695652173913
92,California,Santa Cruz,39.55434782608695,4.0,15.83695652173913
93,California,Shasta,43.641304347826086,4.0,15.83695652173913
94,California,Siskiyou,38.26086956521739,4.0,15.83695652173913
95,California,Solano,41.27173913043478,4.0,15.83695652173913
96,California,Sonoma,37.73913043478261,4.0,15.83695652173913
97,California,Stanislaus,44.108695652173914,4.0,15.83695652173913
98,California,Sutter,40.96739130434783,4.0,15.83695652173913
99,California,Tehama,44.68478260869565,4.0,15.83695652173913
100,California,Trinity,10.81132075471698,4.30188679245283,16.0
101,California,Tulare,50.06521739130435,4.0,15.83695652173913
102,California,Tuolumne,42.358695652173914,4.0,15.83695652173913
103,California,Ventura,47.66304347826087,4.0,15.83695652173913
104,California,Yolo,41.380434782608695,4.0,15.83695652173913
105,Colorado,Adams,46.44565217391305,4.0,15.83695652173913
106,Colorado,Alamosa,8.461538461538462,3.9615384615384617,16.153846153846153
107,Colorado,Arapahoe,53.22826086956522,4.0,15.83695652173913
108,Colorado,Archuleta,19.1,3.988888888888889,15.855555555555556
109,Colorado,Boulder,50.83695652173913,4.0,15.83695652173913
110,Colorado,Clear Creek,55.40909090909091,4.5227272727272725,15.272727272727273
111,Colorado,Delta,46.57608695652174,4.0,15.83695652173913
112,Colorado,Denver,50.31521739130435,4.0,15.83695652173913
113,Colorado,Douglas,50.010989010989015,4.010989010989011,15.868131868131869
114,Colorado,El Paso,49.66304347826087,4.0,15.83695652173913
115,Colorado,Fremont,12.125,4.5,15.0
116,Colorado,Garfield,51.03260869565217,4.0,15.83695652173913
117,Colorado,Gunnison,57.858695652173914,4.0,15.83695652173913
118,Colorado,Jackson,6.0,3.8461538461538463,15.961538461538462
119,Colorado,Jefferson,50.56521739130435,4.0,15.83695652173913
120,Colorado,La Plata,47.07608695652174,4.0,15.83695652173913
121,Colorado,Larimer,57.20652173913044,4.0,15.83695652173913
122,Colorado,Mesa,47.55434782608695,4.0,15.83695652173913
123,Colorado,Montezuma,50.641304347826086,4.0,15.83695652173913
124,Colorado,Pitkin,9.580645161290322,3.967741935483871,16.322580645161292
125,Colorado,Prowers,15.303370786516854,3.9887640449438204,15.820224719101123
126,Colorado,Pueblo,17.205882352941178,3.9705882352941178,16.41176470588235
127,Colorado,Rio Blanco,47.630434782608695,4.0,15.83695652173913
128,Colorado,Routt,17.31111111111111,4.011111111111111,15.811111111111112
129,Colorado,San Juan,6.451612903225806,3.967741935483871,16.322580645161292
130,Colorado,San Miguel,16.620689655172413,3.9655172413793105,16.413793103448278
131,Colorado,Weld,46.380434782608695,4.0,15.83695652173913
