,State Name,County Name,Arithmetic Mean,AQI
98,Indiana,St. Joseph,0.02711743209876543,29.041152263374485
99,Indiana,Vanderburgh,0.024924068571428572,28.12
100,Indiana,Vigo,0.02462907142857143,27.307692307692307
101,Indiana,Wabash,0.027783233333333334,28.616666666666667
102,Indiana,Warrick,0.02539664835164836,28.560439560439562
103,Iowa,Bremer,0.030522451612903217,34.0
104,Iowa,Clinton,0.02985032258064516,33.67741935483871
105,Iowa,Harrison,0.031118395161290315,35.403225806451616
106,Iowa,Linn,0.02820212666666664,31.386666666666667
107,Iowa,Montgomery,0.03230040170940171,35.48717948717949
108,Iowa,Palo Alto,0.031501458333333336,35.78333333333333
109,Iowa,Polk,0.030387887096774195,33.935483870967744
110,Iowa,Scott,0.02852685519125682,31.404371584699454
111,Iowa,Van Buren,0.032571214285714294,34.276785714285715
112,Kentucky,Edmonson,0.027725666666666666,28.833333333333332
113,Kentucky,Morgan,0.031170616666666665,31.5
114,Kentucky,Trigg,0.028106300000000004,29.233333333333334
115,Kentucky,Washington,0.028979816666666665,29.85
116,Louisiana,Ascension,0.026482439560439552,31.54945054945055
117,Louisiana,Bossier,0.02158078021978022,25.516483516483518
118,Louisiana,Caddo,0.025217314606741578,29.337078651685392
119,Louisiana,Calcasieu,0.027535489010989008,31.505494505494507
120,Louisiana,East Baton Rouge,0.025202011070110712,30.28782287822878
121,Louisiana,Iberville,0.02930634831460675,33.92134831460674
122,Louisiana,Jefferson,0.029632402298850568,34.03448275862069
123,Louisiana,Lafayette,0.02809431111111112,32.022222222222226
124,Louisiana,Lafourche,0.02776913186813187,32.27472527472528
125,Louisiana,Livingston,0.028891022471910107,34.348314606741575
126,Louisiana,Ouachita,0.027050758241758236,30.384615384615383
127,Louisiana,Pointe Coupee,0.028947670329670327,33.417582417582416
128,Louisiana,St. Bernard,0.027753090909090908,32.59090909090909
129,Louisiana,St. James,0.024291561797752808,29.797752808988765
130,Louisiana,St. John the Baptist,0.026162010989010998,31.615384615384617
131,Louisiana,St. Martin,0.030312670329670322,33.15384615384615
132,Louisiana,St. Tammany,0.0289049111111111,34.12222222222222
133,Louisiana,West Baton Rouge,0.02423340659340659,29.703296703296704
134,Maine,Aroostook,0.033446083333333335,33.03333333333333
135,Maine,Cumberland,0.034059421487603325,36.053719008264466
136,Maine,Hancock,0.040581219101123604,40.02808988764045
137,Maine,Oxford,0.03680634090909093,39.39772727272727
138,Maine,Penobscot,0.042373231884057984,41.289855072463766
139,Maine,Washington,0.03732352577319587,37.855670103092784
140,Maine,York,0.037559757281553405,39.810679611650485
141,Maryland,Anne Arundel,0.03290748275862068,37.275862068965516
142,Maryland,Baltimore,0.027098213675213687,32.205128205128204
143,Maryland,Calvert,0.03479951724137932,36.0
144,Maryland,Carroll,0.0332281724137931,35.89655172413793
145,Maryland,Cecil,0.03423951724137931,35.62068965517241
146,Maryland,Charles,0.035219172413793104,37.172413793103445
147,Maryland,Dorchester,0.03164738983050849,33.41525423728814
148,Maryland,Frederick,0.03181165517241379,35.44827586206897
149,Maryland,Garrett,0.034090551724137934,34.95402298850575
150,Maryland,Harford,0.03443874137931034,37.172413793103445
151,Maryland,Kent,0.03619096551724137,37.89655172413793
152,Maryland,Montgomery,0.030143999999999997,32.96551724137931
153,Maryland,Prince George's,0.02826896503496503,32.51748251748252
154,Maryland,Washington,0.033399000000000005,35.6551724137931
155,Massachusetts,Barnstable,0.034005408163265305,34.44897959183673
156,Massachusetts,Berkshire,0.025226500000000002,30.516666666666666
157,Massachusetts,Bristol,0.028382599999999994,31.608333333333334
158,Massachusetts,Dukes,0.03535613333333333,36.03333333333333
159,Massachusetts,Essex,0.022915923809523817,25.885714285714286
160,Massachusetts,Franklin,0.022040616666666672,29.35
161,Massachusetts,Hampden,0.025239650000000002,29.983333333333334
162,Massachusetts,Hampshire,0.0318761,33.266666666666666
163,Massachusetts,Middlesex,0.024346474999999996,29.241666666666667
164,Massachusetts,Norfolk,0.02855143333333333,30.783333333333335
165,Massachusetts,Plymouth,0.024067192982456135,29.385964912280702
166,Massachusetts,Suffolk,0.021846033333333334,26.75
167,Massachusetts,Worcester,0.02841689999999999,32.1
168,Michigan,Tuscola,0.03161064999999999,31.7
169,Michigan,Washtenaw,0.02905791666666667,29.783333333333335
170,Michigan,Wexford,0.03268809999999999,32.36666666666667
171,Minnesota,Saint Louis,0.03327021052631579,32.35087719298246
