"Table 1-37:  U.S. Air Carrier Aircraft Departures, Enplaned Revenue Passengers, and Enplaned Revenue Tons",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1975,1980,1985,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Large hubs,"677,179","1,091,059","1,082,567","1,146,589","1,060,893","1,160,854","1,243,048","1,344,351","1,447,280","1,550,814","1,612,543","1,573,088","2,152,031","1,642,412","1,121,199","638,015","662,247","573,885","494,806","432,250","375,224","440,452","363,963","345,144","353,777","345,266","347,963","342,604","404,497","368,290","431,545","407,400","392,021"
Medium hubs,"151,498","255,929","268,179","292,899","315,558","367,265","398,488","406,729","542,096","543,708","559,922","571,986","519,700","485,562","419,796","170,045","142,640","142,106","128,403","122,558","87,078","100,689","86,951","86,473","84,374","81,877","87,203","87,103","99,622","87,170","99,832","118,184","116,486"
Small hubs,"48,486","148,116","59,917","108,656","118,373","145,953","150,987","136,105","137,039","157,147","138,827","127,580","126,777","109,283","92,170","31,044","24,821","23,023","20,968","16,423","24,433","48,467","50,716","54,697","54,760","52,326","48,337","56,040","57,372","57,098","70,908","67,467","67,991"
Nonhubs,"19,134","31,021","12,781","17,954","20,829","16,686","22,366","27,633","29,681","28,067","27,717","21,271","26,417","36,563","2,537,907","12,240","11,770","4,514","5,461","15,568","21,186","18,051","15,562","13,740","13,089","12,983","12,627","11,481","11,783","9,773","10,026","10,808","19,325"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a Total performed includes scheduled departures performed minus those scheduled departures that did not occur plus unscheduled service.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"b The number of persons receiving air transportation from an air carrier for which remuneration is received by the carrier, excluding persons receiving reduced rate charges, such as air carrier employees, infants, and others (except ministers of religion, elderly individuals, and handicapped individuals).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c The number of short tons transported on a flight by an air carrier.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data are for all scheduled and nonscheduled service by large certificated U.S. air carriers at all airports served within the 50 states, the District of Columbia and U.S. territories. Not all scheduled service is actually performed. Moreover, for several years, total performed departures exceed total scheduled departures because nonscheduled departures are included in the totals. Prior to 1993, all scheduled and some nonscheduled enplanements for certificated air carriers were included; no enplanements were included for air carriers offering charter service only. Prior to 1990, freight includes both freight and express shipments, and mail includes priority and nonpriority U.S. mail and foreign mail; beginning in 1990, only aggregate numbers are reported.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Large certificated air carriers operate aircraft with seating capacity of more than 60 seats or a maximum payload capacity of more than 18,000 pounds and hold Certificates of Public Convenience and Necessity issued by the U.S. Department of Transportation authorizing the performance of air transportation. Data for commuter, intrastate, air taxi, small-certificated, and foreign-flag air carriers are not included.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Airport hub classifications are based on the percentage of total enplaned revenue passengers for each year according to the following: one percent or more = large, 0.25 to 0.9999 percent = medium, 0.05 to 0.249 percent = small, less than 0.05 and at least 2,500 passenger boardings = nonhub.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOURCES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hub Classifications:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"U.S. Department of Transportation, Federal Aviation Administration, Airport Categories, available at https://www.faa.gov/airports/planning_capacity/passenger_allcargo_stats/categories/ as of May 20, 2020.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Airport Data:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1975-90: U.S. Department of Transportation, Bureau of Transportation Statistics, Office of Airline Information, Airport Activity Statistics of Certified Route Air Carriers (Washington, DC: Annual issues), tables 2, 3, 4, and 5.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1991-2019: U.S. Department of Transportation,  Bureau of Transportation Statistics, Office of Airline Information, Airport Activity Statistics Database (Form 41 Schedule T-3), special tabulation, available at https://www.transtats.bts.gov/, as of May 20, 2020.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
