County Name,State,death_rate
Aleutians West Census Area,AK,0.0
Municipality of Anchorage,AK,0.7520284979220265
Bethel Census Area,AK,0.6666666666666667
Bristol Bay Borough,AK,
Denali Borough,AK,0.0
Dillingham Census Area,AK,0.0
Fairbanks North Star Borough,AK,0.7773851590106008
Haines Borough,AK,0.0
Hoonah-Angoon Census Area,AK,0.0
City and Borough of Juneau,AK,0.6535947712418301
Kenai Peninsula Borough,AK,0.6198347107438017
Ketchikan Gateway Borough,AK,0.0
Kodiak Island Borough,AK,0.0
Kusilvak Census Area,AK,0.0
Lake and Peninsula Borough,AK,0.0
Matanuska-Susitna Borough,AK,0.2886002886002886
Nome Census Area,AK,0.0
North Slope Borough,AK,0.0
Northwest Arctic Borough,AK,0.0
Petersburg Census Area,AK,12.5
Prince of Wales-Hyder Census Area,AK,0.0
Sitka City and Borough,AK,0.0
Skagway Municipality,AK,
Southeast Fairbanks Census Area,AK,0.0
Valdez-Cordova Census Area,AK,0.0
Wade Hampton Census Area,AK,
Wrangell City and Borough,AK,0.0
Yakutat City and Borough,AK,
Yukon-Koyukuk Census Area,AK,2.3255813953488373
Apache,AZ,4.542966611932129
Cochise,AZ,3.7687145069695407
Coconino,AZ,3.283922462941847
Gila,AZ,4.034969737726967
Graham,AZ,2.8665931642778393
Greenlee,AZ,3.3333333333333335
La Paz,AZ,2.6929982046678633
Maricopa,AZ,2.384255903690972
Mohave,AZ,5.589605295415543
Navajo,AZ,4.019758133197071
Pima,AZ,2.4030209406110536
Pinal,AZ,1.9598864364868578
Santa Cruz,AZ,2.2107081174438687
Yavapai,AZ,3.143712574850299
Yuma,AZ,2.6911741895455252
Arkansas,AR,2.0872865275142316
Ashley,AR,2.62582056892779
Baxter,AR,0.6912442396313364
Benton,AR,1.3871196036801132
Boone,AR,2.8469750889679712
Bradley,AR,2.318840579710145
Calhoun,AR,0.0
Carroll,AR,1.3819095477386936
Chicot,AR,2.1653543307086616
Clark,AR,0.9779951100244498
Clay,AR,3.0303030303030303
Cleburne,AR,3.183023872679045
Cleveland,AR,6.153846153846154
Columbia,AR,3.0252100840336134
Conway,AR,0.9868421052631579
Craighead,AR,0.8113590263691683
Crawford,AR,1.2084592145015105
Crittenden,AR,2.3517883390494854
Cross,AR,3.0120481927710845
Dallas,AR,2.8735632183908044
Desha,AR,1.7964071856287425
Drew,AR,1.881720430107527
Faulkner,AR,0.8124337689862239
Franklin,AR,0.5524861878453038
Fulton,AR,2.3474178403755865
Garland,AR,2.6557218734910673
Grant,AR,0.684931506849315
Greene,AR,1.46484375
Hempstead,AR,0.9174311926605505
Hot Spring,AR,1.3951170901843548
Howard,AR,2.3483365949119372
Independence,AR,2.048857368006304
Izard,AR,0.33003300330033003
Jackson,AR,0.42283298097251587
Jefferson,AR,2.369281045751634
Johnson,AR,0.78125
Lafayette,AR,2.272727272727273
Lawrence,AR,2.380952380952381
Lee,AR,1.6559337626494939
Lincoln,AR,0.8095238095238094
Little River,AR,7.142857142857142
Logan,AR,0.4166666666666667
Lonoke,AR,1.2408759124087592
Madison,AR,1.2987012987012987
Marion,AR,0.0
Miller,AR,1.0945273631840797
Mississippi,AR,2.9314159292035398
Monroe,AR,0.0
Montgomery,AR,4.117647058823529
Nevada,AR,5.809128630705394
Newton,AR,7.196969696969697
Ouachita,AR,2.430555555555556
Perry,AR,0.0
Phillips,AR,2.5510204081632653
Pike,AR,1.2345679012345678
Poinsett,AR,1.9659239842726082
Polk,AR,1.3245033112582782
Pope,AR,1.5437392795883362
Prairie,AR,2.2988505747126435
Pulaski,AR,1.6683119447186576
Randolph,AR,4.581673306772909
St. Francis,AR,0.5076142131979695
Saline,AR,1.0195412064570943
Scott,AR,0.7874015748031495
Searcy,AR,0.6211180124223602
Sebastian,AR,1.6313610908205503
Sevier,AR,1.556101556101556
Sharp,AR,2.6415094339622645
Stone,AR,4.289544235924933
Union,AR,4.781281790437437
Van Buren,AR,1.6666666666666667
Washington,AR,1.1994887425031953
White,AR,2.76981852913085
Woodruff,AR,0.0
Yell,AR,2.329192546583851
