Date,PM2.5 AQI Value,Site Name,Site ID,Source,20-year High (2000-2019),20-year Low (2000-2019),5-year Average (2015-2019)
09/02/2020,39,Fort Lee Near Road,34-003-0010,AirNow,93,19,46.6
09/03/2020,43,Elizabeth Lab,34-039-0004,AirNow,104,21,53.8
09/04/2020,53,Elizabeth Lab,34-039-0004,AirNow,111,35,55.4
09/05/2020,32,Newark Firehouse,34-013-0003,AirNow,91,22,51.2
09/06/2020,28,Queens College Near Road,36-081-0125,AirNow,82,30,48.2
09/07/2020,50,Newark Firehouse,34-013-0003,AirNow,79,30,47
09/08/2020,40,Newark Firehouse,34-013-0003,AirNow,105,30,54
09/09/2020,47,Newark Firehouse,34-013-0003,AirNow,110,17,38
09/10/2020,44,Newark Firehouse,34-013-0003,AirNow,103,18,44
09/11/2020,33,Rutgers University,34-023-0011,AirNow,101,27,49.2
09/12/2020,22,Fort Lee Near Road,34-003-0010,AirNow,83,21,44
09/13/2020,33,Fort Lee Near Road,34-003-0010,AirNow,128,28,39.4
09/14/2020,23,Fort Lee Near Road,34-003-0010,AirNow,111,13,41
09/15/2020,31,Elizabeth Lab,34-039-0004,AirNow,94,24,42.8
09/16/2020,32,Fort Lee Near Road,34-003-0010,AirNow,71,19,50.8
09/17/2020,48,Newark Firehouse,34-013-0003,AirNow,79,23,49
09/18/2020,52,Elizabeth Lab,34-039-0004,AirNow,84,25,41.6
09/19/2020,29,Flemington,34-019-0001,AirNow,125,13,44.2
09/20/2020,33,Flemington,34-019-0001,AirNow,96,24,39.8
09/21/2020,18,Queens College Near Road,36-081-0125,AirNow,120,28,44.4
09/22/2020,14,Queens College Near Road,36-081-0125,AirNow,104,22,44
09/23/2020,46,Queens College Near Road,36-081-0125,AirNow,84,20,45.4
09/24/2020,64,Queens College Near Road,36-081-0125,AirNow,148,20,42
09/25/2020,78,Fort Lee Near Road,34-003-0010,AirNow,78,24,44
09/26/2020,58,Fort Lee Near Road,34-003-0010,AirNow,91,20,42
09/27/2020,43,Fort Lee Near Road,34-003-0010,AirNow,91,19,43.6
09/28/2020,39,Elizabeth Lab,34-039-0004,AirNow,87,20,50.4
09/29/2020,38,Newark Firehouse,34-013-0003,AirNow,67,26,36
09/30/2020,48,Elizabeth Lab,34-039-0004,AirNow,62,23,35
10/01/2020,35,Elizabeth Lab,34-039-0004,AirNow,69,17,36
10/02/2020,28,Elizabeth Lab,34-039-0004,AirNow,101,19,42
10/03/2020,.,,,,95,24,41
10/04/2020,.,,,,120,27,45
10/05/2020,.,,,,112,26,41.8
10/06/2020,.,,,,89,23,46.2
10/07/2020,.,,,,68,23,46.4
10/08/2020,.,,,,93,15,41.2
10/09/2020,.,,,,167,13,37.8
10/10/2020,.,,,,135,26,38.8
10/11/2020,.,,,,74,12,37
10/12/2020,.,,,,66,16,43.8
10/13/2020,.,,,,73,20,43.2
10/14/2020,.,,,,80,15,37
10/15/2020,.,,,,87,13,39.8
10/16/2020,.,,,,71,18,39.4
10/17/2020,.,,,,107,25,38.8
10/18/2020,.,,,,89,20,36.6
10/19/2020,.,,,,86,17,45
10/20/2020,.,,,,82,22,55.6
10/21/2020,.,,,,100,28,50.4
10/22/2020,.,,,,79,18,46
10/23/2020,.,,,,70,17,37.8
10/24/2020,.,,,,73,25,35.6
10/25/2020,.,,,,99,26,37
10/26/2020,.,,,,155,16,41.6
10/27/2020,.,,,,162,20,36
10/28/2020,.,,,,64,21,31.8
10/29/2020,.,,,,56,21,32
10/30/2020,.,,,,87,30,45.6
10/31/2020,.,,,,80,25,40.6
11/01/2020,.,,,,82,28,50
11/02/2020,.,,,,84,20,50.2
11/03/2020,.,,,,102,19,52.2
11/04/2020,.,,,,88,27,41.2
11/05/2020,.,,,,99,22,52.6
11/06/2020,.,,,,119,28,41.8
11/07/2020,.,,,,82,22,45.4
11/08/2020,.,,,,92,22,40.6
11/09/2020,.,,,,147,18,47
11/10/2020,.,,,,91,23,39.8
