OBJECTID,Classes,Value_Min,Value_Max,ORIG_FID
144,7,14.31290820,16.29730596,8
145,7,14.31290820,16.29730596,8
146,8,16.29730596,19.14097290,9
147,8,16.29730596,19.14097290,9
148,8,16.29730596,19.14097290,9
149,8,16.29730596,19.14097290,9
150,9,19.14097290,23.21598337,10
151,9,19.14097290,23.21598337,10
152,9,19.14097290,23.21598337,10
153,9,19.14097290,23.21598337,10
154,9,19.14097290,23.21598337,10
155,9,19.14097290,23.21598337,10
156,9,19.14097290,23.21598337,10
157,9,19.14097290,23.21598337,10
158,9,19.14097290,23.21598337,10
159,9,19.14097290,23.21598337,10
160,9,19.14097290,23.21598337,10
161,9,19.14097290,23.21598337,10
162,9,19.14097290,23.21598337,10
163,9,19.14097290,23.21598337,10
164,9,19.14097290,23.21598337,10
165,9,19.14097290,23.21598337,10
166,9,19.14097290,23.21598337,10
167,9,19.14097290,23.21598337,10
168,9,19.14097290,23.21598337,10
169,9,19.14097290,23.21598337,10
170,9,19.14097290,23.21598337,10
171,9,19.14097290,23.21598337,10
172,9,19.14097290,23.21598337,10
173,9,19.14097290,23.21598337,10
174,9,19.14097290,23.21598337,10
175,9,19.14097290,23.21598337,10
176,9,19.14097290,23.21598337,10
177,9,19.14097290,23.21598337,10
178,9,19.14097290,23.21598337,10
179,9,19.14097290,23.21598337,10
180,9,19.14097290,23.21598337,10
